Threshold,Overall_Accuracy_Downsampled,Participant 1,Participant 2,Participant 3,Participant 4
0.0,42.926829268292686,41.20603015075377,34.806629834254146,51.35135135135135,40.88397790055249
0.01,42.926829268292686,41.0,36.41618497109826,51.75097276264592,38.94736842105263
0.02,42.926829268292686,40.19607843137255,37.72455089820359,51.55038759689923,38.7434554973822
0.03,42.926829268292686,42.93193717277487,36.206896551724135,51.55038759689923,37.56345177664975
0.04,42.926829268292686,42.2680412371134,37.278106508875744,50.57034220532319,38.144329896907216
0.05,42.926829268292686,44.80874316939891,35.59322033898305,49.62686567164179,38.54166666666667
0.06,42.926829268292686,40.5940594059406,35.39325842696629,50.95785440613027,41.340782122905026
0.07,42.926829268292686,41.41414141414141,39.130434782608695,49.62686567164179,38.34196891191709
0.08,42.926829268292686,39.61352657004831,41.44736842105263,48.54014598540146,39.57219251336899
0.09,42.926829268292686,41.83673469387755,36.627906976744185,48.54014598540146,41.57303370786517
0.1,42.926829268292686,41.62436548223351,36.627906976744185,50.378787878787875,39.57219251336899
0.11,42.926829268292686,43.15789473684211,35.19553072625698,49.62686567164179,40.43715846994536
0.12,42.926829268292686,43.85026737967914,35.79545454545455,49.812734082397,38.94736842105263
0.13,42.926829268292686,42.70833333333333,35.59322033898305,50.18867924528302,39.784946236559136
0.14,42.926829268292686,42.93193717277487,36.627906976744185,48.89705882352941,40.0
0.15,42.926829268292686,42.05128205128205,34.23913043478261,50.57034220532319,41.57303370786517
0.16,42.926829268292686,41.41414141414141,35.0,51.35135135135135,40.43715846994536
0.17,42.926829268292686,41.83673469387755,35.0,52.362204724409445,38.94736842105263
0.18,42.926829268292686,43.386243386243386,36.627906976744185,48.717948717948715,39.784946236559136
0.19,42.926829268292686,45.05494505494506,36.41618497109826,50.57034220532319,36.633663366336634
0.2,43.048780487804876,41.20603015075377,38.41463414634146,48.717948717948715,40.76086956521739
0.21,42.926829268292686,42.2680412371134,37.05882352941177,48.36363636363637,40.88397790055249
0.22,42.926829268292686,44.086021505376344,36.627906976744185,49.62686567164179,38.144329896907216
0.23,43.048780487804876,42.2680412371134,38.41463414634146,50.378787878787875,37.878787878787875
0.24,43.048780487804876,43.61702127659575,35.19553072625698,49.62686567164179,40.54054054054054
0.25,43.170731707317074,43.85026737967914,33.51063829787234,50.57034220532319,41.75824175824176
0.26,43.048780487804876,42.70833333333333,36.0,49.62686567164179,40.54054054054054
0.27,43.53658536585366,41.0,38.78787878787879,51.526717557251914,39.37823834196891
0.28,43.78048780487805,43.07692307692308,39.02439024390244,48.375451263537904,41.84782608695652
0.29,44.26829268292683,48.25581395348838,40.49079754601227,49.09090909090909,37.61904761904762
0.3,43.41463414634146,39.61352657004831,38.095238095238095,52.156862745098046,40.526315789473685
0.31,43.90243902439025,44.148936170212764,35.79545454545455,51.526717557251914,40.72164948453608
0.32,43.78048780487805,42.5,39.50617283950617,49.26470588235294,40.86021505376344
0.33,43.53658536585366,45.30386740331492,35.1063829787234,49.814126394052046,41.208791208791204
0.34,43.53658536585366,43.15789473684211,35.95505617977528,49.63235294117647,42.22222222222222
0.35000000000000003,44.63414634146341,44.919786096256686,39.053254437869825,50.936329588014985,40.609137055837564
0.36,44.390243902439025,45.07772020725388,35.32608695652174,51.301115241635685,42.5287356321839
0.37,44.63414634146341,43.43434343434344,38.32335329341318,52.09125475285171,41.14583333333333
0.38,44.26829268292683,41.87192118226601,37.64705882352941,53.937007874015755,39.89637305699482
0.39,45.85365853658537,46.48648648648649,37.988826815642454,51.31086142322098,44.97354497354497
0.4,45.97560975609756,43.58974358974359,41.31736526946108,50.90252707581227,45.30386740331492
0.41000000000000003,45.85365853658537,46.63212435233161,40.74074074074074,50.36496350364964,42.93193717277487
0.42,46.21951219512195,48.94736842105264,42.331288343558285,51.698113207547166,39.603960396039604
0.43,46.58536585365854,46.5,40.116279069767444,53.875968992248055,42.63157894736842
0.44,46.09756097560976,46.03174603174603,39.010989010989015,53.383458646616546,42.62295081967213
0.45,46.95121951219512,46.90721649484536,41.86046511627907,54.86381322957199,41.11675126903553
0.46,48.292682926829265,46.0,41.42011834319527,54.30711610486891,48.369565217391305
0.47000000000000003,46.82926829268293,42.51207729468599,46.913580246913575,52.63157894736842,43.24324324324324
0.48,46.463414634146346,44.72361809045226,43.558282208588956,50.90252707581227,44.19889502762431
0.49,48.90243902439024,50.27027027027027,46.706586826347305,52.7972027972028,43.40659340659341
0.5,47.80487804878049,45.77114427860697,40.65934065934066,55.00000000000001,46.89265536723164
0.51,48.78048780487805,50.26178010471204,45.67901234567901,52.87769784172662,43.91534391534391
0.52,48.65853658536585,46.90721649484536,44.32432432432433,55.38461538461539,45.30386740331492
0.53,49.75609756097561,51.11111111111111,42.5287356321839,54.48028673835126,48.1283422459893
0.54,49.75609756097561,54.49438202247191,43.82022471910113,52.78810408921933,46.666666666666664
0.55,51.21951219512195,54.054054054054056,46.236559139784944,56.07843137254902,46.90721649484536
0.56,49.26829268292683,50.51546391752577,47.5,50.71428571428571,47.31182795698925
0.5700000000000001,51.21951219512195,52.43243243243243,49.404761904761905,56.17977528089888,45.0
0.58,51.34146341463415,50.73891625615764,47.647058823529406,55.51330798479087,49.45652173913043
0.59,51.463414634146346,51.30890052356021,47.19101123595505,55.970149253731336,49.18032786885246
0.6,53.53658536585366,56.830601092896174,47.540983606557376,56.934306569343065,51.11111111111111
0.61,52.4390243902439,53.403141361256544,46.666666666666664,58.203125,49.22279792746114
0.62,53.170731707317074,52.65700483091788,47.928994082840234,58.46153846153847,51.08695652173913
0.63,53.53658536585366,53.92670157068062,50.81967213114754,56.17977528089888,51.955307262569825
0.64,53.53658536585366,53.431372549019606,50.0,58.55513307984791,49.73821989528796
0.65,53.90243902439025,57.30337078651685,50.0,56.71641791044776,50.51546391752577
0.66,55.1219512195122,55.026455026455025,50.28901734104046,61.08949416342413,51.741293532338304
0.67,55.365853658536594,58.730158730158735,52.760736196319016,58.156028368794324,50.0
0.68,54.75609756097561,57.446808510638306,51.204819277108435,59.040590405904055,49.23076923076923
0.6900000000000001,57.195121951219505,58.288770053475936,53.645833333333336,62.845849802371546,52.12765957446809
0.7000000000000001,53.90243902439025,56.98324022346368,47.97687861271676,56.73758865248227,52.1505376344086
0.71,57.68292682926829,60.962566844919785,52.54237288135594,60.75471698113207,54.973821989528794
0.72,56.70731707317073,57.36842105263158,53.888888888888886,60.836501901140686,52.94117647058824
0.73,55.243902439024396,57.43589743589743,52.976190476190474,59.84555984555985,48.98989898989899
0.74,56.21951219512196,55.8974358974359,52.90697674418605,60.60606060606061,53.43915343915344
0.75,58.41463414634146,59.13978494623656,54.18994413407822,62.264150943396224,56.315789473684205
0.76,58.41463414634146,59.154929577464785,56.86274509803921,59.25925925925925,57.608695652173914
0.77,58.048780487804876,58.94736842105262,55.23255813953488,60.0,56.91489361702128
0.78,59.14634146341463,63.18407960199005,53.41614906832298,61.31386861313869,56.52173913043478
0.79,58.65853658536585,62.16216216216216,53.80116959064327,60.66176470588235,56.770833333333336
0.8,57.073170731707314,60.773480662983424,52.84090909090909,60.22727272727273,53.266331658291456
0.81,59.390243902439025,61.904761904761905,58.92857142857143,57.5187969924812,59.89847715736041
0.8200000000000001,58.78048780487804,61.49732620320856,56.470588235294116,59.25925925925925,57.51295336787565
0.8300000000000001,59.14634146341463,62.43386243386243,56.72514619883041,60.594795539033456,56.02094240837696
0.84,59.8780487804878,62.30366492146597,56.547619047619044,62.878787878787875,56.34517766497462
0.85,59.512195121951216,65.10416666666666,56.284153005464475,62.737642585551335,52.197802197802204
0.86,59.756097560975604,60.9375,60.57142857142858,61.254612546125465,55.494505494505496
0.87,59.8780487804878,62.56410256410256,61.71428571428571,62.5,52.0618556701031
0.88,62.926829268292686,70.27027027027027,60.73619631901841,63.799283154121866,56.476683937823836
0.89,62.19512195121951,66.14583333333334,62.0253164556962,62.5,57.89473684210527
0.9,62.4390243902439,61.72248803827751,64.19753086419753,66.92307692307692,55.55555555555556
0.91,65.1219512195122,66.14583333333334,65.3179190751445,66.66666666666666,61.78010471204188
0.92,63.41463414634146,65.97938144329896,62.80487804878049,66.03053435114504,57.99999999999999
0.93,65.60975609756098,68.61702127659575,61.66666666666667,67.71653543307087,63.63636363636363
0.9400000000000001,63.170731707317074,66.66666666666666,62.77777777777778,63.2183908045977,60.10362694300518
0.9500000000000001,63.41463414634146,65.26315789473685,59.76331360946746,65.41353383458647,62.05128205128205
0.96,66.34146341463415,67.89473684210526,67.02702702702703,68.37944664031622,61.458333333333336
0.97,66.58536585365854,69.27083333333334,74.55621301775149,62.737642585551335,62.244897959183675
0.98,66.21951219512195,65.64102564102564,66.85714285714286,64.63878326996198,68.44919786096256
0.99,65.97560975609757,65.57377049180327,64.64088397790056,64.23357664233576,70.32967032967034
1.0,53.41463414634147,58.03108808290155,58.92857142857143,42.066420664206646,60.1063829787234
